time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),cloud_cover (%),visibility (m),dni,ghi,air_temp
2024-07-01T00:00,22,94,21,0,100,24140,0,6,23
2024-07-01T01:00,22,94,21,0,100,24140,0,89,23
2024-07-01T02:00,22.4,91,20.9,0,100,24140,0,156,23
2024-07-01T03:00,23.1,88,21,0,100,24140,0,200,23
2024-07-01T04:00,23.9,83,20.9,0,100,24140,0,264,23
2024-07-01T05:00,24.9,77,20.6,0,100,24140,0,447,25
2024-07-01T06:00,25.8,76,21.2,0,100,24140,0,382,26
2024-07-01T07:00,26.7,70,20.8,0,100,24140,0,337,26
2024-07-01T08:00,27.5,69,21.3,0,100,24140,62,456,27
2024-07-01T09:00,27.2,70,21.2,0,100,24140,177,506,26
2024-07-01T10:00,26.1,74,21.1,0,100,24140,79,354,25
2024-07-01T11:00,25.1,79,21.2,0,100,24140,27,217,25
2024-07-01T12:00,25.5,77,21.2,0,100,24140,0,66,25
2024-07-01T13:00,23.9,84,21,0,100,24140,0,1,25
2024-07-01T14:00,23.3,86,20.8,0,100,24140,0,0,24
2024-07-01T15:00,22.9,89,21,0,100,24140,0,0,23
2024-07-01T16:00,22.6,91,21.1,0,100,24140,0,0,23
2024-07-01T17:00,22.4,92,21,0,96,24140,0,0,22
2024-07-01T18:00,22.2,93,21.1,0,100,24140,0,0,22
2024-07-01T19:00,22.1,92,20.7,0,100,24140,0,0,22
2024-07-01T20:00,21.9,92,20.5,0,100,24140,0,0,22
2024-07-01T21:00,21.7,92,20.3,0,100,24140,0,0,22
2024-07-01T22:00,21.6,91,20.1,0,100,24140,0,0,22
2024-07-01T23:00,21.4,92,20.1,0,100,24140,0,0,22
2024-07-02T00:00,21.6,93,20.5,0,100,24140,0,6,23
2024-07-02T01:00,21.6,93,20.5,0,98,24140,0,84,23
2024-07-02T02:00,22.1,91,20.6,0,97,24140,0,169,23
2024-07-02T03:00,22.9,86,20.4,0,99,24140,5,277,24
2024-07-02T04:00,24.1,80,20.4,0,95,24140,200,563,25
2024-07-02T05:00,25.3,73,20.2,0,91,24140,38,453,26
2024-07-02T06:00,26.6,68,20.3,0,98,24140,382,736,27
2024-07-02T07:00,27.9,62,20,0,99,24140,411,770,28
2024-07-02T08:00,28.4,60,19.9,0,100,24140,25,441,28
2024-07-02T09:00,28.8,57,19.5,0,89,24140,609,677,29
2024-07-02T10:00,28.7,57,19.3,0,91,24140,670,539,28
2024-07-02T11:00,28.3,59,19.5,0,77,24140,110,229,28
2024-07-02T12:00,27.7,62,19.8,0,82,24140,171,102,28
2024-07-02T13:00,26.5,68,20.1,0,44,24140,0,2,28
2024-07-02T14:00,25.2,75,20.5,0,92,24140,0,0,26
2024-07-02T15:00,24.3,78,20.2,0,99,24140,0,0,25
2024-07-02T16:00,23.4,81,20,0,85,24140,0,0,24
2024-07-02T17:00,22.8,84,20,0,58,24140,0,0,24
2024-07-02T18:00,22.5,88,20.4,0,52,24140,0,0,23
2024-07-02T19:00,22,91,20.5,0,69,24140,0,0,23
2024-07-02T20:00,21.8,92,20.5,0,97,24140,0,0,23
2024-07-02T21:00,21.7,93,20.5,0,100,24140,0,0,23
2024-07-02T22:00,21.6,94,20.6,0,96,24140,0,0,23
2024-07-02T23:00,21.5,93,20.4,0,80,24140,0,0,23
2024-07-03T00:00,21.7,94,20.7,0,100,24140,0,7,23
2024-07-03T01:00,21.8,94,20.8,0,100,24140,140,124,24
2024-07-03T02:00,22.1,92,20.7,0,100,24140,191,294,24
2024-07-03T03:00,22.9,88,20.8,0,100,24140,221,440,24
2024-07-03T04:00,24.2,80,20.5,0,100,24140,185,544,25
2024-07-03T05:00,25.5,73,20.3,0,100,24140,389,714,27
2024-07-03T06:00,26.7,69,20.6,0,100,24140,74,599,28
2024-07-03T07:00,27.5,64,20.1,0,100,24140,251,693,28
2024-07-03T08:00,28.2,64,20.7,0,100,24140,52,436,28
2024-07-03T09:00,27.8,67,21.1,0,100,24140,749,720,28
2024-07-03T10:00,26.8,70,20.9,0,100,24140,441,460,28
2024-07-03T11:00,26.6,70,20.7,0,92,24140,310,274,27
2024-07-03T12:00,26.1,75,21.3,0,100,24140,0,60,27
2024-07-03T13:00,25.4,75,20.6,0,100,24140,0,1,26
2024-07-03T14:00,24.5,80,20.9,0,100,24140,0,0,25
2024-07-03T15:00,24,83,20.9,0,100,24140,0,0,24
2024-07-03T16:00,23.5,84,20.6,0,100,24140,0,0,23
2024-07-03T17:00,22.9,85,20.3,0,100,24140,0,0,23
2024-07-03T18:00,22.4,87,20.2,0,100,24140,0,0,22
2024-07-03T19:00,21.9,89,20,0,100,24140,0,0,22
2024-07-03T20:00,21.6,91,20.1,0,100,24140,0,0,22
2024-07-03T21:00,21.4,92,20.1,0,100,24140,0,0,22
2024-07-03T22:00,21.3,92,19.9,0,100,24140,0,0,22
2024-07-03T23:00,21.2,93,20.1,0,100,24140,0,0,22
2024-07-04T00:00,21.6,92,20.2,0,100,24140,0,6,22
2024-07-04T01:00,21.6,92,20.3,0,100,24140,0,99,22
2024-07-04T02:00,21.9,91,20.4,0,100,24140,0,193,23
